sensors,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,0
0,20.1,19.7794702,19.5,19.26291391,19.1,18.91854305,18.76232183,18.6,18.48807947,18.4,18.31589404,18.24348493,20.2,19.86556291,24,23.13708609,22.39418008,25.9,24.77284768,24.6,23.65364238,22.83889742,25.8,24.68675497,26.3,25.11721854,25.9,24.77284768,23.80245165,23.6,22.79271523,22.7,22.01788079,21.43062585,21.4,20.8986755,21.5,20.98476821,20.54119118,21.1,20.64039735,20.9,20.46821192,20.09647384,20.6,20.20993377,20.4,20.03774834,19.72587606,20.1,19.7794702,19.8,19.52119205,19.6,19.34900662,19.13291961,19.2,19.00463576,19.1,18.91854305,18.76232183,24.3,23.39536424,25.8,24.68675497,23.72833209,24.3,23.39536424,23.7,22.87880795,22.17182141,22.9,22.19006623,24.4,23.48145695,24.2,23.30927152,22.54241919,23.4,22.6205298,22.5,21.84569536,21.28238674,21.8,21.24304636,21.5,20.98476821,20.54119118,21.1,20.64039735,20.8,20.38211921,20.02235428,20.6,20.20993377,19.87411517
1,20.5,20.25674847,19.9,19.70276074,19.5,19.33343558,19.17964451,19,18.87177914,18.8,18.68711656,18.58288983,19.7,19.51809816,23.4,22.93435583,22.50442057,24.5,23.95,23.9,23.39601227,22.93067391,24.2,23.67300613,24.5,23.95,23.44217791,23.4,22.93435583,22.7,22.28803681,22.1,21.73404908,21.39616188,21.7,21.36472393,21.9,21.5493865,21.22566054,21.5,21.18006135,21.2,20.90306748,20.62890587,20.9,20.62607362,20.7,20.44141104,20.20265253,20.4,20.16441718,20.2,19.9797546,19.9,19.70276074,19.52064718,19.5,19.33343558,19.5,19.33343558,19.17964451,23.8,23.30368098,24.5,23.95,23.44217791,23.2,22.74969325,22.7,22.28803681,21.90766589,22.3,21.91871166,23,22.56503067,22.16341789,22.6,22.19570552,22.5,22.10337423,22,21.64171779,21.31091121,22.1,21.73404908,21.8,21.45705521,21.14040988,21.4,21.08773006,21.1,20.8107362,20.5436552,20.9,20.62607362,20.37315386
2,20.3,20.06428571,19.7,19.50714286,19.32806122,19.1,18.95,18.8,18.67142857,18.5,18.39285714,18.29336735,20.7,20.43571429,24.6,24.05714286,23.55306122,25.4,24.8,24.7,24.15,23.63928571,24.8,24.24285714,25,24.42857143,23.89795918,24.2,23.68571429,23.2,22.75714286,22.3,21.92142857,21.56989796,21.6,21.27142857,21.7,21.36428571,21.05255102,21.3,20.99285714,21.1,20.80714286,20.53520408,20.8,20.52857143,20.6,20.34285714,20.10408163,20.2,19.97142857,19.9,19.69285714,19.5005102,19.5,19.32142857,19.3,19.13571429,19.2,19.04285714,18.89693878,25,24.42857143,25.3,24.70714286,24.15663265,23.6,23.12857143,23,22.57142857,22.17346939,22.6,22.2,23.7,23.22142857,22.77704082,23.2,22.75714286,23,22.57142857,22.3,21.92142857,21.56989796,22,21.64285714,21.7,21.36428571,21.05255102,21.3,20.99285714,21,20.71428571,20.44897959,20.8,20.52857143,20.27653061
3,20.7,20.42330827,20,19.78120301,19.58050201,19.5,19.32255639,19.2,19.04736842,19,18.86390977,18.73907513,20.5,20.23984962,24.4,23.81729323,23.28278026,25.8,25.10150376,23.9,23.35864662,22.86206682,23.4,22.9,23.4,22.9,22.44135338,22.8,22.34962406,22.2,21.79924812,21.43164113,21.7,21.3406015,21.5,21.15714286,21.9,21.52406015,21.17921307,21.5,21.15714286,21.3,20.97368421,20.67435694,21,20.69849624,20.7,20.42330827,20.16950082,20.4,20.1481203,20.2,19.96466165,19.74878738,19.8,19.59774436,19.6,19.41428571,19.5,19.32255639,19.15978857,25,24.36766917,26.1,25.37669173,24.71320595,22.7,22.25789474,21.7,21.3406015,21.0109277,22,21.61578947,22.6,22.16616541,21.76821188,22.2,21.79924812,22,21.61578947,21.26335576,21.8,21.43233083,22,21.61578947,21.8,21.43233083,21.09507038,21.5,21.15714286,21.3,20.97368421,20.67435694,21.1,20.79022556,20.50607157
4,20.3,19.90451128,19.7,19.3924812,19.13004975,19.2,18.96578947,18.9,18.70977444,18.54743909,18.7,18.53909774,19.7,19.3924812,23.5,22.63533835,21.89745039,24,23.06203008,23.8,22.89135338,22.11592939,23.7,22.80601504,23.6,22.72067669,21.97027673,22.9,22.12330827,22.4,21.69661654,21.09636073,21.5,20.92857143,21,20.5018797,21.4,20.84323308,20.36809741,21,20.5018797,20.8,20.33120301,19.93113941,20.6,20.16052632,20.3,19.90451128,19.56700774,20,19.64849624,19.7,19.3924812,19.13004975,19.3,19.05112782,19,18.79511278,18.62026542,19,18.79511278,24.1,23.14736842,24.4,23.40338346,22.55288739,23.4,22.55,21.9,21.26992481,20.73222907,22,21.35526316,22.5,21.78195489,21.16918707,22.3,21.6112782,22.2,21.52593985,20.95070807,21.7,21.09924812,21.6,21.01390977,21.5,20.92857143,20.44092374,21.1,20.58721805,20.8,20.33120301,19.93113941,20.5,20.07518797,19.71266041
5,20.4,20.06483516,19.7,19.43791209,19.203185,19.2,18.99010989,18.9,18.72142857,18.56149922,18.7,18.54230769,20.6,20.24395604,24.3,23.55769231,22.89287828,24.7,23.91593407,23.7,23.02032967,22.41161394,22.7,22.12472527,22.5,21.9456044,21.44908526,22.4,21.85604396,21.8,21.31868132,20.88761019,21.4,20.96043956,21.2,20.78131868,20.40634585,21.3,20.87087912,21.1,20.69175824,20.8,20.42307692,20.08550296,20.5,20.1543956,20.3,19.97527473,19.68444934,20,19.70659341,19.8,19.52747253,19.28339573,19.3,19.07967033,19.1,18.90054945,18.72192066,19.1,18.90054945,24.9,24.09505495,25,24.18461538,23.45435334,23,22.39340659,21.4,20.96043956,20.5667673,21.7,21.22912088,22,21.4978022,21.04803164,21.8,21.31868132,21.7,21.22912088,20.80739947,21.6,21.13956044,21.8,21.31868132,20.88761019,21.4,20.96043956,21.1,20.69175824,20.9,20.51263736,20.16571368,20.6,20.24395604,19.92508151
6,19.8,19.55339806,19.1,18.92135922,18.76006221,18.6,18.46990291,18.2,18.10873786,18.02633613,18,17.92815534,20.3,20.00485437,19.73836365,23,22.44271845,24.1,23.43592233,24.3,23.61650485,22.99936846,24.7,23.9776699,24.3,23.61650485,22.99936846,22.2,21.72038835,21.9,21.44951456,21.04276558,20.9,20.54660194,20.6,20.27572816,19.98293901,20.8,20.45631068,20.6,20.27572816,20.3,20.00485437,19.73836365,20.1,19.82427184,19.9,19.64368932,19.41226317,19.5,19.28252427,19.3,19.10194175,18.92311245,18.9,18.7407767,18.6,18.46990291,18.35243661,18.6,18.46990291,23.3,22.71359223,22.18411726,25,24.24854369,25.1,24.33883495,22,21.53980583,21.1242907,21.9,21.44951456,22.1,21.63009709,21.20581582,21.9,21.44951456,21.9,21.44951456,21.04276558,21.6,21.17864078,21.4,20.99805825,20.63513998,21,20.6368932,20.7,20.36601942,20.4,20.09514563,19.81988877,20.2,19.91456311,19.65683853
7,19.9,19.52096774,19.3,19.00806452,18.75850676,18.8,18.58064516,18.4,18.23870968,18.10083247,18.3,18.15322581,19.9,19.52096774,19.1969563,23.4,22.51290323,24.4,23.36774194,24.8,23.70967742,22.77762747,25.4,24.22258065,24.8,23.70967742,22.77762747,22.6,21.82903226,22.5,21.74354839,21.09690427,21.7,21.05967742,20.7,20.20483871,19.78155567,20.8,20.29032258,20.5,20.03387097,19.63540583,20.2,19.77741935,20,19.60645161,19.8,19.43548387,19.12388137,19.4,19.09354839,19.2,18.92258065,18.68543184,18.8,18.58064516,18.5,18.32419355,18.17390739,18.5,18.32419355,23.6,22.68387097,21.90072841,25.6,24.39354839,26,24.73548387,22.5,21.74354839,21.09690427,22.4,21.65806452,22.4,21.65806452,21.02382934,22.3,21.57258065,22.3,21.57258065,20.95075442,21.8,21.14516129,21.4,20.80322581,20.29308012,21,20.46129032,20.7,20.20483871,19.78155567,20.3,19.86290323,20.1,19.69193548,19.34310614
8,19.9,18.75910931,19.2,18.32267206,17.77567408,18.8,18.07327935,18.5,17.88623482,17.50356341,18.4,17.82388664,19.9,18.75910931,18.04778475,22.8,20.56720648,23.8,21.19068826,19.56382993,24.2,21.44008097,24.5,21.62712551,23.9,21.25303644,19.60270288,22.1,20.13076923,22.2,20.19311741,18.94186268,21.7,19.88137652,20.8,19.32024291,18.39764133,20.9,19.38259109,20.6,19.19554656,18.31989543,20.3,19.00850202,20.1,18.88380567,19.9,18.75910931,18.04778475,19.6,18.57206478,19.3,18.38502024,17.81454703,18.9,18.13562753,18.6,17.948583,17.54243636,18.5,17.88623482,23.2,20.81659919,19.33059221,24.2,21.44008097,24.5,21.62712551,19.8359406,21.7,19.88137652,21.6,19.81902834,21.8,19.9437247,18.78637086,21.6,19.81902834,21.6,19.81902834,18.70862496,21.4,19.69433198,21.3,19.63198381,18.5920061,21,19.44493927,20.6,19.19554656,18.31989543,20.3,19.00850202,20.1,18.88380567,18.12553066
